Bal;Date;Heure;debit (g/h);debit1 (g/h)
478;2022.10.06;59:41,3;3,001;3,001
479;2022.10.06;59:43,3;2,999;2,999
480;2022.10.06;59:45,3;3,003;3,003
481;2022.10.06;59:47,3;3,002;3,002
482;2022.10.06;59:49,3;3,002;3,002
483;2022.10.06;59:51,3;3,004;3,004
484;2022.10.06;59:53,3;2,998;2,998
485;2022.10.06;59:55,3;3,004;3,004
486;2022.10.06;59:57,3;2,998;2,998
487;2022.10.06;59:59,3;2,999;2,999
488;2022.10.06;00:01,3;2,998;2,998
489;2022.10.06;00:03,3;3,005;3,005
490;2022.10.06;00:05,3;3,008;3,008
491;2022.10.06;00:07,3;2,998;2,998
492;2022.10.06;00:09,3;2,997;2,997
493;2022.10.06;00:11,3;3,008;3,008
494;2022.10.06;00:13,3;2,998;2,998
495;2022.10.06;00:15,3;2,999;2,999
496;2022.10.06;00:17,3;2,998;2,998
497;2022.10.06;00:19,3;1,432;1,432
498;2022.10.06;00:21,3;1,018;1,018
499;2022.10.06;00:23,3;0,986;0,986
500;2022.10.06;00:25,3;1,003;1,003
501;2022.10.06;00:27,3;1,004;1,004
502;2022.10.06;00:29,3;1,003;1,003
503;2022.10.06;00:31,3;0,994;0,994
504;2022.10.06;00:33,3;0,999;0,999
505;2022.10.06;00:35,3;1,005;1,005
506;2022.10.06;00:37,3;0,997;0,997
507;2022.10.06;00:39,3;1,004;1,004
508;2022.10.06;00:41,3;0,999;0,999
509;2022.10.06;00:43,3;0,999;0,999
510;2022.10.06;00:45,3;0,997;0,997
511;2022.10.06;00:47,3;1,002;1,002
512;2022.10.06;00:49,3;0,997;0,997
513;2022.10.06;00:51,3;0,992;0,992
514;2022.10.06;00:53,3;0,998;0,998
515;2022.10.06;00:55,3;1,005;1,005
516;2022.10.06;00:57,3;0,996;0,996
517;2022.10.06;00:59,3;0,998;0,998
518;2022.10.06;01:01,3;1,002;1,002
519;2022.10.06;01:03,3;1,008;1,008
520;2022.10.06;01:05,3;0,995;0,995
521;2022.10.06;01:07,3;1,002;1,002
522;2022.10.06;01:09,3;1,001;1,001
523;2022.10.06;01:11,3;1,004;1,004
524;2022.10.06;01:13,3;1,002;1,002
525;2022.10.06;01:15,3;1,983;1,983
526;2022.10.06;01:17,3;1,998;1,998
527;2022.10.06;01:19,3;1,997;1,997
528;2022.10.06;01:21,3;2,002;2,002
529;2022.10.06;01:23,3;2,003;2,003
530;2022.10.06;01:25,3;1,998;1,998
531;2022.10.06;01:27,3;1,987;1,987
532;2022.10.06;01:29,3;2,002;2,002
533;2022.10.06;01:31,3;2,003;2,003
534;2022.10.06;01:33,3;2,002;2,002
535;2022.10.06;01:35,3;2,002;2,002
536;2022.10.06;01:37,3;2,001;2,001
537;2022.10.06;01:39,3;2;2
538;2022.10.06;01:41,3;2,006;2,006
539;2022.10.06;01:43,3;1,997;1,997
540;2022.10.06;01:45,3;2,004;2,004
541;2022.10.06;01:47,3;1,999;1,999
542;2022.10.06;01:49,3;2,004;2,004
543;2022.10.06;01:51,3;1,998;1,998
544;2022.10.06;01:53,3;2,004;2,004
545;2022.10.06;01:55,3;2,001;2,001
546;2022.10.06;01:57,3;2;2
547;2022.10.06;01:59,3;2;2
548;2022.10.06;02:01,3;1,999;1,999
549;2022.10.06;02:03,3;1,998;1,998
550;2022.10.06;02:05,3;1,999;1,999
551;2022.10.06;02:07,3;1,999;1,999
552;2022.10.06;02:09,3;2,004;2,004
553;2022.10.06;02:11,3;2,004;2,004
554;2022.10.06;02:13,3;2;2
555;2022.10.06;02:15,3;2;2
556;2022.10.06;02:17,3;2,005;2,005
557;2022.10.06;02:19,3;2,004;2,004
558;2022.10.06;02:21,3;2;2
559;2022.10.06;02:23,3;2,001;2,001
560;2022.10.06;02:25,3;2,001;2,001
561;2022.10.06;02:27,3;2,01;2,01
562;2022.10.06;02:29,3;1,99;1,99
563;2022.10.06;02:31,3;2,003;2,003
564;2022.10.06;02:33,3;2,007;2,007
565;2022.10.06;02:35,3;1,998;1,998
566;2022.10.06;02:37,3;1,992;1,992
567;2022.10.06;02:39,3;1,995;1,995
568;2022.10.06;02:41,3;2,003;2,003
569;2022.10.06;02:43,3;1,999;1,999
570;2022.10.06;02:45,3;2,003;2,003
571;2022.10.06;02:47,3;2,003;2,003
572;2022.10.06;02:49,3;2,002;2,002
573;2022.10.06;02:51,3;2,005;2,005
574;2022.10.06;02:53,3;1,999;1,999
575;2022.10.06;02:55,3;2,003;2,003
576;2022.10.06;02:57,3;2,003;2,003
577;2022.10.06;02:59,3;2,002;2,002
578;2022.10.06;03:01,3;1,999;1,999
579;2022.10.06;03:03,3;1,997;1,997
580;2022.10.06;03:05,3;2;2
581;2022.10.06;03:07,3;1,999;1,999
582;2022.10.06;03:09,3;1,993;1,993
583;2022.10.06;03:11,3;2,003;2,003
584;2022.10.06;03:13,3;2;2
585;2022.10.06;03:15,3;2,003;2,003
586;2022.10.06;03:17,3;1,996;1,996
587;2022.10.06;03:19,3;2,005;2,005
588;2022.10.06;03:21,3;1,996;1,996
589;2022.10.06;03:23,3;2,001;2,001
590;2022.10.06;03:25,3;2,004;2,004
591;2022.10.06;03:27,3;2,002;2,002
592;2022.10.06;03:29,3;1,997;1,997
593;2022.10.06;03:31,3;2;2
594;2022.10.06;03:33,3;2;2
595;2022.10.06;03:35,3;1,998;1,998
596;2022.10.06;03:37,3;1,999;1,999
597;2022.10.06;03:39,3;1,998;1,998
598;2022.10.06;03:41,3;2;2
599;2022.10.06;03:43,3;2,002;2,002
600;2022.10.06;03:45,3;1,996;1,996
601;2022.10.06;03:47,3;2,003;2,003
602;2022.10.06;03:49,3;2,005;2,005
603;2022.10.06;03:51,3;2,003;2,003
604;2022.10.06;03:53,3;1,999;1,999
605;2022.10.06;03:55,3;2,006;2,006
606;2022.10.06;03:57,3;1,994;1,994
607;2022.10.06;03:59,3;2;2
608;2022.10.06;04:01,3;1,997;1,997
609;2022.10.06;04:03,3;2;2
610;2022.10.06;04:05,3;2,001;2,001
611;2022.10.06;04:07,3;2,002;2,002
612;2022.10.06;04:09,3;2,004;2,004
613;2022.10.06;04:11,3;2,006;2,006
614;2022.10.06;04:13,3;2,002;2,002
615;2022.10.06;04:15,3;2,004;2,004
616;2022.10.06;04:17,3;2,004;2,004
617;2022.10.06;04:19,3;2,002;2,002
618;2022.10.06;04:21,3;1,994;1,994
619;2022.10.06;04:23,3;2,006;2,006
620;2022.10.06;04:25,3;1,998;1,998
621;2022.10.06;04:27,3;2,002;2,002
622;2022.10.06;04:29,3;2,001;2,001
623;2022.10.06;04:31,3;2,001;2,001
624;2022.10.06;04:33,3;1,998;1,998
625;2022.10.06;04:35,3;2,003;2,003
626;2022.10.06;04:37,3;2,007;2,007
627;2022.10.06;04:39,3;1,996;1,996
628;2022.10.06;04:41,3;2,001;2,001
629;2022.10.06;04:43,3;2;2
